date,product_name,upvotes,url
2025-07-17,Symvol,179,https://www.producthunt.com/products/symvol?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-17,NotebookLM Featured Notebooks,153,https://www.producthunt.com/products/google-notebooklm-plus?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-17,UTCP,148,https://www.producthunt.com/products/utcp?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-17,ADK-TS,126,https://www.producthunt.com/products/adk-ts-build-ai-agents-in-one-line?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-16,Brain MAX by ClickUp,1086,https://www.producthunt.com/products/brain-max-by-clickup?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-16,Mozart AI,688,https://www.producthunt.com/products/mozart-ai?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-16,Jokr.bar,448,https://www.producthunt.com/products/jokr-bar?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-16,Velocity,348,https://www.producthunt.com/products/velocity-8?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-16,Bookva.ai,269,https://www.producthunt.com/products/bookva-ai?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-16,Mitte 1.0,267,https://www.producthunt.com/products/mitte-1-0?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-16,Faces,220,https://www.producthunt.com/products/faces-4?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-16,Gleam,213,https://www.producthunt.com/products/gleam-2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-16,Pagy 2.0,201,https://www.producthunt.com/products/pagy-1-0?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-16,Blink,190,https://www.producthunt.com/products/blink-21?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-15,TestSprite 2.0,773,https://www.producthunt.com/products/testsprite?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-15,MCP for Google Sheets,655,https://www.producthunt.com/products/coefficient?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-15,Finlens,614,https://www.producthunt.com/products/finlens?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-15,PPT.AI,371,https://www.producthunt.com/products/ppt-ai?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-15,AI Voice Agent SDK,359,https://www.producthunt.com/products/video-sdk?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-15,Anvil,267,https://www.producthunt.com/products/anvil-3?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-15,Machined V3,250,https://www.producthunt.com/products/machined?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-15,ELMA - Ultimate Email Agent,237,https://www.producthunt.com/products/elma?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-15,Directory by Claude,231,https://www.producthunt.com/products/claude?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
